timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168446.386,-968.750,-6.836,0.000,10.254,21.484
1711168446.390,-968.750,-7.324,0.000,34.180,71.777
1711168446.394,-968.750,-6.836,0.000,46.875,41.504
1711168446.398,-968.750,0.000,0.000,25.879,6.348
1711168446.402,-968.750,2.930,3.906,35.645,2.930
1711168446.406,-968.750,4.395,-2.930,7.324,23.438
1711168446.410,-968.750,6.348,-14.648,4.883,23.926
1711168446.414,-968.750,5.371,-19.531,44.434,36.621
1711168446.418,-968.750,2.930,-15.625,44.434,69.336
1711168446.421,-968.750,-0.977,-13.184,43.945,53.711
1711168446.425,-969.238,-0.977,-13.184,52.246,26.367
1711168446.429,-964.355,3.906,-19.531,35.156,5.859
1711168446.433,-972.168,0.977,-21.484,59.570,-2.930
1711168446.437,-931.152,-3.906,-22.949,64.941,38.086
1711168446.441,-766.113,3.418,-25.879,24.414,69.336
1711168446.445,-555.176,9.766,-20.508,33.691,60.547
1711168446.449,-344.238,11.719,-15.625,45.898,78.125
1711168446.453,-196.777,16.602,-10.742,24.414,69.824
1711168446.457,-127.441,23.438,-8.301,29.297,27.832
1711168446.461,-44.434,26.367,-8.789,43.945,31.250
1711168446.464,128.418,26.367,-9.766,41.992,30.273
1711168446.468,339.355,24.902,-11.719,51.758,1.953
1711168446.472,442.383,19.043,-9.277,44.434,-2.441
1711168446.476,467.285,10.254,-5.371,23.438,-9.277
1711168446.480,562.012,5.371,-3.906,35.645,3.418
1711168446.484,697.754,4.883,-6.836,36.621,-6.348
1711168446.488,760.254,-6.348,-7.812,30.762,30.762
1711168446.492,767.090,-11.719,-7.812,33.691,63.965
1711168446.496,865.723,-8.789,-11.230,25.391,27.344
1711168446.500,990.723,-1.953,-11.230,41.016,32.715
1711168446.503,-999.512,6.836,-15.625,48.340,51.758
1711168446.507,996.094,6.348,-17.090,51.270,21.484
1711168446.511,-1000.000,1.953,-6.348,43.457,21.484
1711168446.515,999.512,0.977,2.930,24.902,-5.371
1711168446.519,999.512,2.930,3.906,25.879,10.254
1711168446.523,999.512,0.977,4.883,45.898,-8.301
1711168446.527,999.512,2.930,10.742,42.480,-9.766
1711168446.531,999.512,3.418,4.883,47.852,18.555
1711168446.535,999.512,4.395,-1.465,53.711,56.152
1711168446.539,999.512,7.324,-3.418,24.414,78.125
1711168446.543,999.512,8.301,0.000,19.531,50.293
1711168446.546,999.512,12.207,0.000,15.137,56.641
1711168446.550,999.512,17.090,0.000,16.113,34.668
1711168446.554,999.512,20.020,0.000,22.461,6.348
1711168446.558,999.512,20.020,0.000,34.180,-44.922
1711168446.562,999.512,22.461,0.000,48.828,3.418
1711168446.566,999.512,27.344,0.000,43.457,37.598
1711168446.570,999.512,23.926,0.000,37.598,-2.441
1711168446.574,999.512,14.648,0.000,29.297,25.879
1711168446.578,999.512,9.277,0.000,61.523,8.301
1711168446.582,996.094,7.812,0.000,65.918,-24.414
1711168446.585,-1000.000,3.906,0.000,27.832,-3.418
1711168446.589,0.000,5.859,-29.785,48.828,13.672
1711168446.593,0.000,10.742,-20.508,76.660,50.781
1711168446.597,0.000,11.230,-9.277,73.242,65.918
1711168446.601,0.000,15.625,1.465,62.012,81.543
